// Déplacements de l'unité terrestre 1 sur un horizon temporel (x_1^t, y_1^t) 
(100.0,300.0), (150.0,250.0), (200.0,300.0), (250.0,350.0), (200.0,300.0), (250.0,350.0), (200.0,300.0), (250.0,250.0), (300.0,200.0), (350.0,200.0), (350.0,250.0), (400.0,300.0), (450.0,250.0), (500.0,200.0), (500.0,250.0), (450.0,200.0), (400.0,200.0), (450.0,250.0), (450.0,200.0), (450.0,150.0), (500.0,150.0), (450.0,100.0), (450.0,150.0), (450.0,100.0), (400.0,100.0), (400.0,150.0), (350.0,150.0), (300.0,200.0), (350.0,150.0), (350.0,200.0), (350.0,150.0), (400.0,100.0), (350.0,100.0), (300.0,150.0), (300.0,200.0), (250.0,200.0), (200.0,150.0), (200.0,200.0), (250.0,200.0), (200.0,250.0), (250.0,250.0), (300.0,250.0), (300.0,300.0), (350.0,300.0), (300.0,250.0), (250.0,300.0), (200.0,250.0), (250.0,250.0), (250.0,300.0), (300.0,350.0)

// Déplacements de l'unité terrestre 2 sur un horizon temporel (x_2^t, y_2^t) 
(400.0,750.0), (350.0,750.0), (300.0,700.0), (350.0,750.0), (300.0,750.0), (250.0,800.0), (300.0,850.0), (250.0,800.0), (200.0,850.0), (150.0,800.0), (200.0,850.0), (250.0,900.0), (300.0,850.0), (350.0,900.0), (300.0,900.0), (250.0,950.0), (200.0,900.0), (200.0,850.0), (250.0,850.0), (200.0,800.0), (250.0,850.0), (300.0,850.0), (350.0,800.0), (400.0,800.0), (350.0,800.0), (300.0,850.0), (250.0,850.0), (250.0,900.0), (250.0,950.0), (250.0,900.0), (200.0,900.0), (150.0,950.0), (100.0,900.0), (50.0,850.0), (100.0,900.0), (150.0,900.0), (150.0,850.0), (150.0,800.0), (100.0,750.0), (50.0,750.0), (100.0,800.0), (100.0,850.0), (150.0,900.0), (200.0,900.0), (150.0,900.0), (150.0,850.0), (150.0,800.0), (200.0,750.0), (250.0,800.0), (250.0,850.0)

// Déplacements de l'unité terrestre 3 sur un horizon temporel (x_3^t, y_3^t) 
(150.0,750.0), (100.0,750.0), (150.0,750.0), (100.0,700.0), (50.0,750.0), (50.0,800.0), (50.0,850.0), (100.0,900.0), (100.0,950.0), (50.0,900.0), (100.0,850.0), (150.0,800.0), (150.0,850.0), (100.0,900.0), (150.0,850.0), (150.0,900.0), (100.0,900.0), (150.0,850.0), (150.0,800.0), (100.0,750.0), (150.0,700.0), (150.0,750.0), (200.0,750.0), (250.0,700.0), (200.0,750.0), (250.0,700.0), (300.0,700.0), (250.0,700.0), (250.0,750.0), (200.0,800.0), (150.0,800.0), (200.0,800.0), (150.0,750.0), (100.0,800.0), (50.0,750.0), (100.0,700.0), (150.0,700.0), (100.0,700.0), (150.0,650.0), (200.0,700.0), (200.0,750.0), (150.0,750.0), (200.0,700.0), (200.0,750.0), (200.0,800.0), (150.0,800.0), (100.0,800.0), (50.0,750.0), (100.0,750.0), (50.0,800.0)

// Déplacements de l'unité terrestre 4 sur un horizon temporel (x_4^t, y_4^t) 
(300.0,100.0), (350.0,50.0), (350.0,100.0), (350.0,50.0), (400.0,100.0), (450.0,100.0), (400.0,100.0), (400.0,150.0), (450.0,150.0), (400.0,200.0), (400.0,150.0), (400.0,200.0), (350.0,150.0), (400.0,150.0), (350.0,100.0), (300.0,150.0), (250.0,100.0), (200.0,50.0), (150.0,100.0), (200.0,150.0), (200.0,200.0), (250.0,250.0), (250.0,200.0), (250.0,150.0), (200.0,200.0), (150.0,200.0), (200.0,150.0), (150.0,100.0), (200.0,150.0), (250.0,150.0), (200.0,100.0), (150.0,50.0), (100.0,100.0), (100.0,150.0), (150.0,100.0), (200.0,50.0), (250.0,100.0), (200.0,50.0), (150.0,50.0), (100.0,50.0), (150.0,50.0), (200.0,100.0), (200.0,150.0), (250.0,150.0), (300.0,100.0), (350.0,100.0), (300.0,100.0), (350.0,150.0), (350.0,100.0), (300.0,100.0)

// Déplacements de l'unité terrestre 5 sur un horizon temporel (x_5^t, y_5^t) 
